ID;LAT;LONG;G.crassa
1;-38,14;-57,45;0
2;-38,25;-57,23;0
3;-38,39;-56,91;0
4;-38,59;-56,52;0
5;-38,78;-56,09;0
6;-38,98;-55,7;0
7;-37,59;-55,14;0
8;-37,38;-55,56;0
9;-37,28;-55,83;0
10;-37,17;-56,08;0
11;-37,05;-56,28;0
12;-36,92;-56,5;0
13;-35,88;-55,88;0
14;-36;-55,6;0
15;-36,14;-55,32;0
16;-36,28;-55,04;0
17;-36,42;-54,71;0
18;-36,61;-54,28;0
20;-35,68;-53,35;0
21;-35,48;-53,66;0
22;-35,32;-53,91;0
23;-35,2;-54,07;0
24;-35,04;-54,29;0
25;-34,89;-54,46;0
26;-33,8;-53,22;0
27;-33,92;-53;0
28;-34,13;-52,63;0
29;-34,24;-52,41;0
30;-34,43;-52,08;0
31;-33,59;-51,04;0
32;-33,43;-51,31;0
33;-33,32;-51,52;0
34;-33,16;-51,74;0
35;-33,01;-52;0
36;-32,93;-52,15;0
37;-32,82;-52,33;0
38;-32,04;-51,85;0
39;-32,21;-51,54;0
40;-32,33;-51,36;0
41;-32,44;-51,14;0
42;-32,56;-50,9;0
43;-32,71;-50,63;0
44;-31,36;-49,82;0
45;-31,24;-50,04;0
46;-31,16;-50,19;0
47;-31,08;-50,37;0
48;-31;-50,49;0
49;-30,49;-48,84;0
50;-30,25;-49,03;0
51;-30;-49,24;0
52;-29,82;-49,38;0
53;-29,68;-49,5;0
54;-29,52;-49,64;0
55;-28,57;-48,7;0
56;-28,67;-48,52;0
57;-28,76;-48,33;0
58;-28,86;-48,13;0
59;-28,98;-47,89;0
60;-27,49;-47,35;0
61;-27,39;-47,6;0
62;-27,3;-47,85;0
63;-27,2;-48,09;0
64;-27,06;-48,45;0
65;-38,06;-57,46;0
66;-38,25;-57,24;0
70;-38,98;-55,71;0
71;-37,62;-55,17;0
72;-37,4;-55,59;0
73;-37,28;-55,85;0
74;-37,17;-56,08;0
75;-37,06;-56,28;0
76;-36,95;-56,43;0
77;-35,9;-55,93;0
78;-36;-55,61;0
79;-36,14;-55,32;0
80;-36,28;-55,04;0
81;-36,41;-54,72;0
82;-36,62;-54,28;0
83;-35,62;-53,47;0
84;-35,52;-53,72;0
85;-35,33;-53,94;0
86;-35,26;-54,13;0
87;-35,04;-54,36;0
88;-34,07;-53,42;0
89;-34,25;-53,09;0
90;-34,37;-52,94;0
91;-34,47;-52,78;0
92;-34,53;-52,63;0
93;-34,71;-52,39;0
94;-32,96;-52,43;0
95;-33,07;-52,3;0
96;-33,24;-52,11;0
97;-33,37;-51,88;0
98;-33,47;-51,72;0
99;-33,61;-51,52;0
100;-32,97;-50,57;0
101;-32,86;-50,78;0
102;-32,73;-51,06;0
103;-32,6;-51,35;0
104;-32,5;-51,51;0
105;-32,38;-51,71;0
106;-32,32;-52,05;0
107;-30,98;-50,54;0
108;-31,09;-50,38;0
109;-31,17;-50,23;0
110;-30,02;-49,23;0
111;-29,84;-49,38;0
112;-29,52;-49,64;0
113;-28,58;-48,7;0
114;-28,67;-48,52;0
115;-28,76;-48,32;0
116;-27,4;-47,61;0
117;-27,28;-47,86;0
118;-27,2;-48,09;0
119;-27,15;-48,39;0
120;-34,86;-56,88;0
121;-34,9;-56,68;0
122;-34,95;-56,49;0
123;-34,98;-56,29;0
124;-35,02;-56,1;0
125;-35,05;-55,91;0
126;-35,1;-55,72;0
130;-35,25;-54,9;0
132;-35,06;-54,57;0
133;-34,92;-54,41;0
136;-34,62;-53,95;0
137;-34,51;-53,79;0
139;-34,29;-53,48;0
141;-35,09;-54,97;0
142;-35,05;-54,94;0
143;-35,04;-54,72;0
144;-27,21;-46,94;0
145;-27,26;-46,76;0
146;-27,3;-46,62;0
147;-27,32;-46,52;0
148;-27,39;-46,22;0
149;-27,54;-45,66;0
150;-26,03;-45,79;0
151;-26,2;-45,61;0
152;-26,24;-45,56;0
153;-26,28;-45,51;0
154;-26,38;-45,41;0
155;-26,68;-45,07;0
156;-25,63;-45,11;0
157;-25,67;-45,08;0
158;-25,69;-45,06;0
160;-25,95;-44,83;0
161;-26,42;-44,43;0
162;-24,26;-43,58;0
163;-24,34;-43,54;0
164;-24,43;-43,49;0
165;-24,54;-43,43;0
166;-24,87;-43,27;0
167;-26,12;-42,65;0
168;-23,77;-41,79;0
169;-23,85;-41,74;0
170;-23,91;-41,72;0
171;-23,98;-41,67;0
172;-24,22;-41,52;0
173;-24,52;-41,35;0
210;-21,17;-40,54;0
211;-21,28;-40,56;0
212;-21,33;-41;0
213;-21,4;-40,59;0
214;-21,47;-40,58;0
215;-21,55;-40,55;0
218;-21,55;-40,49;0
219;-21,5;-40,49;0
220;-21,39;-40,49;0
221;-21,28;-40,56;0
222;-21,17;-40,48;0
223;-21,12;-40,43;0
224;-21,23;-40,43;0
225;-21,34;-40,43;0
226;-21,28;-40,49;0
227;-21,55;-40,43;0
229;-22,01;-40,32;0
230;-21,5;-40,32;0
232;-21,18;-40,31;0
233;-21,25;-40,25;0
234;-21,34;-40,26;0
235;-21,45;-40,26;0
236;-21,56;-40,26;0
238;-22,01;-40,2;0
240;-22,12;-40,15;0
241;-24,1;-45;0
242;-24,4;-44,9;0
243;-24,7;-44,7;0
244;-25;-44,6;0
245;-25;-44,5;0
246;-24,7;-44,3;0
247;-24,8;-44,2;0
248;-24,7;-44;0
249;-24,6;-44,1;0
250;-23,4;-44,3;0
251;-23,7;-44,2;0
252;-23,9;-44;0
253;-24,3;-44;0
254;-24,4;-43,8;0
255;-24,5;-43,7;0
