ID;LAT;LONG;G. subglobosa
4;-38,59;-56,52;0
8;-37,38;-55,56;0
13;-35,88;-55,88;0
15;-36,14;-55,32;0
18;-36,61;-54,28;0
20;-35,68;-53,35;0
22;-35,32;-53,91;0
24;-35,04;-54,29;0
27;-33,92;-53;0
36;-32,93;-52,15;0
39;-32,21;-51,54;0
41;-32,44;-51,14;0
65;-38,06;-57,46;0
66;-38,25;-57,24;0
68;-38,59;-56,51;0
75;-37,06;-56,28;0
76;-36,95;-56,43;0
78;-36;-55,61;0
79;-36,14;-55,32;0
80;-36,28;-55,04;0
82;-36,62;-54,28;0
87;-35,04;-54,36;0
88;-34,07;-53,42;0
89;-34,25;-53,09;0
90;-34,37;-52,94;0
91;-34,47;-52,78;0
92;-34,53;-52,63;0
94;-32,96;-52,43;0
95;-33,07;-52,3;0
98;-33,47;-51,72;0
105;-32,38;-51,71;0
106;-32,32;-52,05;0
130;-35,25;-54,9;0
131;-35,14;-54,73;0
132;-35,06;-54,57;0
133;-34,92;-54,41;0
134;-34,82;-54,26;0
136;-34,62;-53,95;0
137;-34,51;-53,79;0
141;-35,09;-54,97;0
142;-35,05;-54,94;0
143;-35,04;-54,72;0
146;-27,3;-46,62;0
148;-27,39;-46,22;0
152;-26,24;-45,56;0
157;-25,67;-45,08;0
158;-25,69;-45,06;0
164;-24,43;-43,49;0
165;-24,54;-43,43;0
211;-21,28;-40,56;0
214;-21,47;-40,58;0
215;-21,55;-40,55;0
217;-22,11;-40,56;0
224;-21,23;-40,43;0
226;-21,28;-40,49;0
229;-22,01;-40,32;0
230;-21,5;-40,32;0
231;-21,39;-40,32;0
234;-21,34;-40,26;0
235;-21,45;-40,26;0
236;-21,56;-40,26;0
237;-22,01;-40,2;0
238;-22,01;-40,2;0
239;-21,45;-40,14;0
249;-24,6;-44,1;0
